TTI[3677] - trigger[188, 198]
TTI[3689] - trigger[128, 222]
TTI[3696] - trigger[24 , 159]
TTI[3700] - trigger[20 , 221]
TTI[3703] - trigger[12 , 27 ]
TTI[3704] - trigger[215, 88 ]
TTI[3706] - trigger[109, 212]
TTI[3709] - trigger[116, 94 ]
TTI[3732] - trigger[168, 164]
TTI[3736] - trigger[161, 220]
TTI[3743] - trigger[219, 79 ]
TTI[3744] - trigger[35 , 223]
TTI[3747] - trigger[189, 63 ]
TTI[3759] - trigger[71 , 47 ]
TTI[3764] - trigger[88 , 223]
TTI[3764] - trigger[128, 88 ]
TTI[3764] - trigger[214, 131]
TTI[3768] - trigger[86 , 98 ]
TTI[3768] - trigger[158, 223]
TTI[3773] - trigger[32 , 160]
TTI[3776] - trigger[92 , 219]
TTI[3779] - trigger[56 , 122]
TTI[3785] - trigger[196, 10 ]
TTI[3789] - trigger[61 , 113]
TTI[3792] - trigger[149, 11 ]
TTI[3792] - trigger[200, 63 ]
TTI[3793] - trigger[114, 103]
TTI[3801] - trigger[72 , 214]
TTI[3801] - trigger[114, 78 ]
TTI[3802] - trigger[5  , 32 ]
TTI[3806] - trigger[99 , 28 ]
TTI[3816] - trigger[124, 40 ]
TTI[3825] - trigger[33 , 90 ]
TTI[3827] - trigger[157, 141]
TTI[3830] - trigger[67 , 96 ]
TTI[3835] - trigger[139, 41 ]
TTI[3838] - trigger[25 , 164]
TTI[3841] - trigger[221, 193]
TTI[3844] - trigger[57 , 85 ]
TTI[3861] - trigger[45 , 24 ]
TTI[3869] - trigger[87 , 155]
TTI[3870] - trigger[126, 32 ]
TTI[3876] - trigger[59 , 172]
TTI[3879] - trigger[162, 104]
TTI[3886] - trigger[45 , 134]
TTI[3888] - trigger[24 , 1  ]
TTI[3888] - trigger[67 , 39 ]
TTI[3896] - trigger[201, 203]
TTI[3898] - trigger[101, 212]
TTI[3903] - trigger[157, 181]
TTI[3920] - trigger[117, 123]
TTI[3920] - trigger[168, 178]
TTI[3920] - trigger[182, 125]
TTI[3922] - trigger[97 , 21 ]
TTI[3923] - trigger[135, 198]
TTI[3929] - trigger[156, 161]
TTI[3934] - trigger[159, 54 ]
TTI[3939] - trigger[0  , 13 ]
TTI[3940] - trigger[86 , 222]
TTI[3951] - trigger[17 , 197]
TTI[3953] - trigger[124, 49 ]
TTI[3960] - trigger[133, 202]
TTI[3961] - trigger[80 , 175]
TTI[3976] - trigger[94 , 37 ]
TTI[3976] - trigger[214, 33 ]
TTI[3981] - trigger[206, 51 ]
TTI[3983] - trigger[169, 39 ]
TTI[3984] - trigger[99 , 130]
TTI[3993] - trigger[183, 40 ]
TTI[3996] - trigger[180, 63 ]
TTI[3999] - trigger[77 , 60 ]
TTI[4004] - trigger[175, 8  ]
TTI[4007] - trigger[35 , 187]
TTI[4027] - trigger[107, 140]
TTI[4031] - trigger[163, 72 ]
TTI[4045] - trigger[207, 146]
TTI[4050] - trigger[21 , 30 ]
TTI[4050] - trigger[76 , 60 ]
TTI[4064] - trigger[6  , 147]
TTI[4067] - trigger[88 , 24 ]
TTI[4069] - trigger[86 , 200]
TTI[4075] - trigger[132, 138]
TTI[4081] - trigger[32 , 82 ]
TTI[4081] - trigger[217, 133]
TTI[4083] - trigger[23 , 104]
TTI[4100] - trigger[107, 187]
TTI[4111] - trigger[181, 101]
TTI[4117] - trigger[107, 195]
TTI[4122] - trigger[128, 218]
TTI[4126] - trigger[1  , 166]
TTI[4129] - trigger[155, 133]
TTI[4137] - trigger[135, 68 ]
TTI[4139] - trigger[11 , 20 ]
TTI[4140] - trigger[195, 1  ]
TTI[4142] - trigger[56 , 22 ]
TTI[4147] - trigger[42 , 104]
TTI[4152] - trigger[200, 211]
TTI[4156] - trigger[150, 155]
TTI[4157] - trigger[69 , 82 ]
TTI[4158] - trigger[115, 121]
TTI[4159] - trigger[214, 60 ]
TTI[4164] - trigger[160, 111]
TTI[4183] - trigger[203, 31 ]
TTI[4187] - trigger[154, 15 ]
TTI[4198] - trigger[139, 178]
TTI[4199] - trigger[148, 105]
TTI[4202] - trigger[64 , 170]
TTI[4202] - trigger[135, 189]
TTI[4207] - trigger[18 , 26 ]
TTI[4207] - trigger[211, 180]
TTI[4208] - trigger[183, 126]
TTI[4210] - trigger[93 , 136]
TTI[4220] - trigger[99 , 86 ]
TTI[4222] - trigger[147, 35 ]
TTI[4224] - trigger[213, 150]
TTI[4229] - trigger[12 , 119]
TTI[4231] - trigger[194, 50 ]
TTI[4234] - trigger[160, 198]
TTI[4237] - trigger[128, 179]
TTI[4247] - trigger[101, 189]
TTI[4258] - trigger[77 , 0  ]
TTI[4264] - trigger[94 , 134]
TTI[4264] - trigger[145, 120]
TTI[4268] - trigger[182, 199]
TTI[4269] - trigger[74 , 76 ]
TTI[4280] - trigger[166, 67 ]
TTI[4285] - trigger[132, 108]
TTI[4287] - trigger[22 , 117]
TTI[4293] - trigger[224, 176]
TTI[4317] - trigger[26 , 208]
TTI[4328] - trigger[148, 58 ]
TTI[4336] - trigger[35 , 34 ]
TTI[4340] - trigger[130, 220]
TTI[4345] - trigger[101, 174]
TTI[4346] - trigger[30 , 16 ]
TTI[4348] - trigger[5  , 133]
TTI[4354] - trigger[157, 1  ]
TTI[4355] - trigger[137, 194]
TTI[4358] - trigger[134, 160]
TTI[4362] - trigger[17 , 12 ]
TTI[4376] - trigger[145, 8  ]
TTI[4377] - trigger[208, 36 ]
TTI[4380] - trigger[91 , 16 ]
TTI[4390] - trigger[132, 18 ]
TTI[4399] - trigger[223, 148]
TTI[4402] - trigger[223, 39 ]
TTI[4406] - trigger[44 , 116]
TTI[4406] - trigger[118, 139]
TTI[4407] - trigger[203, 76 ]
TTI[4408] - trigger[76 , 168]
TTI[4411] - trigger[160, 113]
TTI[4415] - trigger[189, 97 ]
TTI[4422] - trigger[131, 190]
TTI[4423] - trigger[133, 198]
TTI[4426] - trigger[153, 11 ]
TTI[4426] - trigger[221, 74 ]
TTI[4429] - trigger[4  , 181]
TTI[4432] - trigger[114, 185]
TTI[4439] - trigger[64 , 166]
TTI[4442] - trigger[93 , 31 ]
TTI[4445] - trigger[150, 5  ]
TTI[4458] - trigger[93 , 116]
TTI[4458] - trigger[189, 200]
TTI[4459] - trigger[130, 214]
TTI[4464] - trigger[147, 106]
TTI[4471] - trigger[62 , 214]
TTI[4472] - trigger[17 , 94 ]
TTI[4478] - trigger[156, 132]
TTI[4479] - trigger[76 , 101]
TTI[4481] - trigger[21 , 108]
TTI[4483] - trigger[144, 37 ]
TTI[4489] - trigger[149, 144]
TTI[4522] - trigger[23 , 194]
TTI[4523] - trigger[54 , 3  ]
